"Time","Altitude","Bucket Script","Ascent Rate (Reported, m/s)"
2024-12-26 11:28:00,6885,,5.59
2024-12-26 11:28:30,7044,5.30,5.44
2024-12-26 11:29:00,7219,5.82,6.54
2024-12-26 11:29:30,7404,6.15,5.90
2024-12-26 11:30:00,7581,5.92,6.06
2024-12-26 11:30:30,7755,5.80,5.78
2024-12-26 11:31:00,7938,6.11,6.18
2024-12-26 11:31:30,8116,5.93,5.44
2024-12-26 11:32:00,8309,6.44,6.95
2024-12-26 11:32:30,8514,6.81,6.57
2024-12-26 11:33:00,8747,7.79,7.97
2024-12-26 11:33:30,8954,6.91,6.72
2024-12-26 11:34:00,9156,6.71,6.72
2024-12-26 11:34:30,9320,5.48,5.04
2024-12-26 11:35:00,9486,5.55,6.03
2024-12-26 11:35:30,9686,6.65,6.80
2024-12-26 11:36:00,9891,6.84,6.18
2024-12-26 11:36:30,10053,5.38,5.33
2024-12-26 11:37:00,10240,6.25,6.25
2024-12-26 11:37:30,10415,5.82,6.69
2024-12-26 11:38:00,10589,5.80,5.10
2024-12-26 11:38:30,10743,5.15,5.09
2024-12-26 11:39:00,10885,4.72,4.53
2024-12-26 11:39:30,11025,4.67,4.70
2024-12-26 11:40:00,11161,4.53,4.20
2024-12-26 11:40:30,11292,4.37,4.99
2024-12-26 11:41:00,11458,5.55,5.93
2024-12-26 11:41:30,11613,5.17,5.03
2024-12-26 11:42:00,11771,5.24,5.79
2024-12-26 11:42:30,11953,6.09,5.94
2024-12-26 11:43:00,12117,5.46,5.21
2024-12-26 11:43:30,12271,5.14,4.97
2024-12-26 11:44:00,12430,5.30,4.79
2024-12-26 11:44:30,12544,3.82,3.51
2024-12-26 11:45:00,12644,3.31,3.21
2024-12-26 11:45:30,12737,3.12,3.01
2024-12-26 11:46:00,12828,3.02,3.14
2024-12-26 11:46:30,12931,3.44,3.72
2024-12-26 11:47:00,13068,4.55,5.01
2024-12-26 11:47:30,13211,4.77,5.41
2024-12-26 11:48:00,13394,6.12,7.18
2024-12-26 11:48:30,13594,6.66,5.37
2024-12-26 11:49:00,13753,5.29,5.31
2024-12-26 11:49:30,13908,5.17,5.09
2024-12-26 11:50:00,14053,4.82,4.63
2024-12-26 11:50:30,14191,4.60,4.43
2024-12-26 11:51:00,14324,4.45,5.29
2024-12-26 11:51:30,14508,6.14,6.59
2024-12-26 11:52:00,14721,7.10,5.38
2024-12-26 11:52:30,14874,5.10,6.04
2024-12-26 11:53:00,15053,5.97,5.07
2024-12-26 11:53:30,15191,4.57,4.67
2024-12-26 11:54:00,15366,5.84,5.39
2024-12-26 11:54:30,15513,4.92,4.78
2024-12-26 11:55:00,15647,4.45,4.42
2024-12-26 11:55:30,15799,5.08,5.30
2024-12-26 11:56:00,15940,4.69,4.81
2024-12-26 11:56:30,16086,4.88,4.79
2024-12-26 11:57:00,16232,4.85,4.92
2024-12-26 11:57:30,16382,5.02,5.08
2024-12-26 11:58:00,16535,5.08,5.41
2024-12-26 11:58:30,16701,5.53,5.56
2024-12-26 11:59:00,16864,5.46,5.64
2024-12-26 11:59:30,17031,5.55,5.16
2024-12-26 12:00:00,17184,5.09,5.23
2024-12-26 12:00:30,17349,5.52,5.33
2024-12-26 12:01:00,17531,6.08,5.70
2024-12-26 12:01:30,17701,5.64,5.81
2024-12-26 12:02:00,17860,5.31,5.46
2024-12-26 12:02:30,18011,5.04,4.91
2024-12-26 12:03:00,18152,4.70,4.49
2024-12-26 12:03:30,18285,4.44,4.58
2024-12-26 12:04:00,18430,4.82,5.01
2024-12-26 12:04:30,18579,4.98,5.27
2024-12-26 12:05:00,18743,5.46,5.86
2024-12-26 12:05:30,18920,5.89,6.17
2024-12-26 12:06:00,19108,6.26,5.80
2024-12-26 12:06:30,19278,5.66,5.61
